[DIPPR Text]
 915PCHR  1.05E-03
 914PCHR  9.61E-03
 922PCHR  2.33E-02
1501PCHR  3.91E-02
 908PCHR  1.11E-02
 909PCHR  1.32E-02
1938PCHR  2.56E-02
1894PCHR  2.71E-02
1855PCHR  4.93E-02
1904PCHR  1.25E-02
 918PCHR  1.85E-02
1907PCHR  1.85E-02
 902PCHR  6.10E-03
1921PCHR  9.26E-03
1922PCHR  1.43E-02
1911PCHR  1.08E-02
 919PCHR  4.44E-03
1903PCHR  2.41E-02
 912PCHR  8.97E-03
 900PCHR  1.29E-02
 905PCHR  1.07E-02
 899PCHR  1.42E-02
 901PCHR  9.53E-03
 910PCHR  1.81E-02
 911PCHR  1.83E-02
1521PCHR  3.26E-02
1771PCHR  1.45E-02
1001PCHR  1.68E-02
1502PCHR  1.97E-02
1681PCHR  2.60E-02
   1PCHR  1.29E-02
1101PCHR  1.85E-02
1701PCHR  1.79E-02
1541PCHR  3.71E-02
1854PCHR  4.23E-02
4865PCHR  4.08E-02
 401PCHR  1.57E-02
4868PCHR  3.58E-02
1504PCHR  2.50E-02
1851PCHR  2.85E-02
1524PCHR  4.03E-02
1772PCHR  2.21E-02
 201PCHR  1.77E-02
1522PCHR  3.36E-02
1523PCHR  3.34E-02
1002PCHR  2.17E-02
1441PCHR  2.00E-02
1252PCHR  2.35E-02
1301PCHR  2.45E-02
1503PCHR  2.68E-02
   2PCHR  1.97E-02
1401PCHR  2.33E-02
1102PCHR  2.77E-02
1201PCHR  3.34E-02
1820PCHR  2.91E-02
1802PCHR  2.92E-02
1704PCHR  2.49E-02
1774PCHR  2.72E-02
 402PCHR  2.27E-02
 301PCHR  2.21E-02
 202PCHR  2.49E-02
1051PCHR  2.89E-02
1302PCHR  3.17E-02
1312PCHR  3.18E-02
1253PCHR  3.03E-02
1876PCHR  3.42E-02
   3PCHR  2.68E-02
1104PCHR  3.68E-02
1103PCHR  3.80E-02
1703PCHR  3.22E-02
 418PCHR  2.80E-02
1821PCHR  3.33E-02
1775PCHR  3.33E-02
 404PCHR  3.02E-02
 403PCHR  2.99E-02
 302PCHR  2.95E-02
 303PCHR  2.97E-02
 204PCHR  3.21E-02
 205PCHR  3.15E-02
 206PCHR  3.18E-02
 207PCHR  3.18E-02
1006PCHR  3.48E-02
1052PCHR  3.60E-02
1479PCHR  3.32E-02
1421PCHR  3.63E-02
1256PCHR  3.72E-02
1313PCHR  3.87E-02
1322PCHR  3.83E-02
1303PCHR  3.87E-02
1845PCHR  4.54E-02
2856PCHR  3.86E-02
   5PCHR  3.39E-02
   4PCHR  3.39E-02
1105PCHR  4.86E-02
1106PCHR  4.80E-02
1107PCHR  4.76E-02
1108PCHR  4.66E-02
1402PCHR  3.76E-02
1202PCHR  5.83E-02
1710PCHR  3.92E-02
1889PCHR  3.84E-02
1791PCHR  3.57E-02
 309PCHR  3.61E-02
 104PCHR  3.60E-02
 212PCHR  3.87E-02
 213PCHR  3.89E-02
 214PCHR  3.86E-02
 209PCHR  3.91E-02
 210PCHR  3.90E-02
 211PCHR  3.92E-02
1053PCHR  4.26E-02
1061PCHR  4.21E-02
1314PCHR  4.54E-02
   8PCHR  4.08E-02
   7PCHR  4.10E-02
   9PCHR  4.02E-02
1592PCHR  5.77E-02
1573PCHR  5.14E-02
1572PCHR  4.95E-02
1574PCHR  5.01E-02
1680PCHR  4.59E-02
1571PCHR  4.34E-02
1691PCHR  4.98E-02
1886PCHR  4.79E-02
 501PCHR  3.67E-02
1181PCHR  4.00E-02
1792PCHR  4.22E-02
1080PCHR  4.47E-02
 137PCHR  4.30E-02
 216PCHR  4.62E-02
 105PCHR  4.32E-02
1151PCHR  4.56E-02
  14PCHR  4.75E-02
  15PCHR  4.73E-02
  11PCHR  4.79E-02
  12PCHR  4.80E-02
  13PCHR  4.73E-02
1203PCHR  8.53E-02
1706PCHR  5.26E-02
 502PCHR  4.35E-02
1183PCHR  4.61E-02
1182PCHR  4.58E-02
1184PCHR  4.63E-02
 138PCHR  4.97E-02
 107PCHR  5.03E-02
 234PCHR  5.31E-02
  17PCHR  5.49E-02
 601PCHR  6.21E-02
 504PCHR  5.04E-02
 506PCHR  5.02E-02
 505PCHR  5.00E-02
 507PCHR  5.03E-02
 140PCHR  5.64E-02
 114PCHR  5.73E-02
  27PCHR  6.20E-02
  40PCHR  6.00E-02
  41PCHR  6.08E-02
  42PCHR  6.01E-02
  43PCHR  6.02E-02
1204PCHR  8.07E-02
 803PCHR  5.16E-02
 820PCHR  5.28E-02
 510PCHR  5.67E-02
 509PCHR  5.77E-02
 149PCHR  6.46E-02
  46PCHR  6.86E-02
 701PCHR  5.54E-02
 723PCHR  5.78E-02
 724PCHR  5.78E-02
 316PCHR  5.77E-02
 518PCHR  6.40E-02
 152PCHR  7.04E-02
  56PCHR  7.56E-02
 702PCHR  6.23E-02
 703PCHR  6.24E-02
  63PCHR  8.25E-02
 808PCHR  6.45E-02
 558PCHR  6.80E-02
  64PCHR  8.94E-02
 738PCHR  6.96E-02
  65PCHR  9.72E-02
 805PCHR  7.35E-02
  66PCHR  1.03E-01
  67PCHR  1.10E-01
 717PCHR  8.15E-02
 807PCHR  8.07E-02
 710PCHR  8.65E-02
  68PCHR  1.16E-01
 806PCHR  9.32E-02
  41PCHR  6.08E-02
 154PCHR  6.52E-02
1405PCHR  4.47E-02
1427PCHR  5.16E-02
1111PCHR  4.28E-02
