hydrogen ion	hydrogen ion (1+)	12408-02-5	H+	1	1.01
deuterium ion	deuterium ion (1+)	14464-47-2	D+	1	2.01
lithium	lithium ion (Li 1+)	17341-24-1	Li+	1	6.94
sodium	sodium ion (Na 1+)	17341-25-2	Na+	1	22.99
potassium	potassium ion (K 1+)	24203-36-9	K+	1	39.1
rubidium	rubidium ion (Rb1+)	22537-38-8	Rb+	1	85.47
cesium	cesium ion (Cs 1+)	18459-37-5	Cs+	1	132.91
copper(I)	copper ion (Cu 1+)	17493-86-6	Cu+	1	63.55
silver	silver ion (Ag 1+)	14701-21-4	Ag+	1	107.87
gold(I)	gold ion (Au 1+)	20681-14-5	Au+	1	196.97
indium(I)	indium ion (In 1+)	14864-11-0	In+	1	114.82
thallium(I)	thallium ion (Tl 1+)	22537-56-0	Tl+	1	204.38
hydronium	oxonium	13968-08-6	H3O+	1	19.02
ammonium	ammonium	14798-03-9	NH4+	1	18.04
phosphonium	phosphonium	16749-13-6	PH4+	1	35.01
methylammonium	methanamine, conjugate acid	17000-00-9	CH3NH3+	1	32.07
hydroxylaminium	hydroxylaminium	20712-83-8	HONH3+	1	34.04
hydrazinium	hydrazinium ion (1+)	18500-32-8	H2NNH3+	1	33.05
guanidinium	methylium, triamino-	25215-10-5	C(NH2)3+	1	60.08
tetramethylammonium	methanaminium, N,N,N-trimethyl	51-92-3	Me4N+	1	74.15
tetraethylammonium	ethanaminium, N,N,N-triethyl	66-40-0	Et4N+	1	130.25
tetrapropylammonium	propanaminium, N,N,N-tripropyl	13010-31-6	Pr4N+	1	186.36
tetrabutylammonium	butaneaminium, N,N,N-tributyl	10549-76-5	Bu4N+	1	242.47
butyl-tri-i-pentylammonium	butaneaminium, N,-butyl-3-methyl bis3-methylbutyl	21570-53-6	BuiPe3N+	1	284.55
tetrapentylammonium	pentanaminium, N,N,N-tripentyl	15959-61-2	Pe4N+	1	298.58
tetra-i-pentylammonium	1-butaneaminium-3-methyl-N,N,N-tris-3-methylbutyl	37841-17-1	iPe4N+	1	298.58
tetrahexylammonium	haxanaminium, N,N,N-trihexyl	20256-54-6	Hx4N+	1	354.67
tetraheptylammonium	heptanaminium, N,N,N-triheptyl	35414-25-6	Hp4N+	1	410.76
tetraphenylphosphonium	phosphonium, tetraphenyl	18198-39-5	Ph4P+	1	339.4
tetraphenylarsonium	arsonium, tetraphenyl	15912-80-8	Ph4As+	1	383.34
nitrosyl	nitrosyl ion	14452-93-8	NO+	1	30.01
nitroxyl	nitryl ion	14522-82-8	NO2+	1	46.01
antimonyl (III)	antimony (1+), oxo	22877-95-8	SbO+	1	137.75
dioxovanadyl(V)	vanadium (1+), dioxo	18252-79-4	VO2+	1	82.94
uranyl(V)	uranyl ion, (1+)	21294-41-7	UO2+	1	270.03
neptunyl(V)	neptunyl ion (1+)	21057-99-8	NpO2+	1	269
plutonyl(V)	plutonyl ion (1+)	22967-56-2	PuO2+	1	271
americyl(V)	americyl ion (1+)	22878-02-0	AmO2+	1	273
diamminesilver(I)	silver (1+), bis(ammine)-	16972-61-5	Ag(NH3)2+	1	141.93
beryllium	beryllium ion (Be 2+)	22537-20-8	Be+2	2	9.01
magnesium	magnesium ion (Mg 2+)	22537-22-0	Mg+2	2	24.31
calcium	calcium ion (Ca 2+)	14127-61-8	Ca+2	2	40.08
strontium	strontium ion (Sr 2+)	22537-39-9	Sr+2	2	87.62
barium	barium ion (Ba 2+)	22541-12-4	Ba+2	2	137.33
radium	radium ion (Ra 2+)	22541-36-2	Ra+2	2	226
