[DIPPR Text]
   1CASN  	74-82-8
   2CASN  	74-84-0
   3CASN  	74-98-6
   4CASN  	75-28-5
   5CASN  	106-97-8
   7CASN  	109-66-0
   8CASN  	78-78-4
   9CASN  	463-82-1
  11CASN  	110-54-3
  12CASN  	107-83-5
  13CASN  	96-14-0
  14CASN  	75-83-2
  15CASN  	79-29-8
  17CASN  	142-82-5
  18CASN  	591-76-4
  19CASN  	589-34-4
  20CASN  	617-78-7
  21CASN  	590-35-2
  22CASN  	565-59-3
  23CASN  	108-08-7
  24CASN  	562-49-2
  25CASN  	464-06-2
  27CASN  	111-65-9
  28CASN  	592-27-8
  29CASN  	589-81-1
  30CASN  	589-53-7
  31CASN  	619-99-8
  32CASN  	590-73-8
  33CASN  	584-94-1
  34CASN  	589-43-5
  35CASN  	592-13-2
  36CASN  	563-16-6
  37CASN  	583-48-2
  38CASN  	609-26-7
  39CASN  	1067-08-9
  40CASN  	564-02-3
  41CASN  	540-84-1
  42CASN  	560-21-4
  43CASN  	565-75-3
  44CASN  	594-82-1
  46CASN  	111-84-2
  47CASN  	3522-94-9
  48CASN  	7154-80-5
  49CASN  	16747-30-1
  50CASN  	1067-20-5
  51CASN  	7154-79-2
  52CASN  	1186-53-4
  53CASN  	1070-87-7
  54CASN  	16747-38-9
  55CASN  	111-01-3
  56CASN  	124-18-5
  57CASN  	13475-81-5
  58CASN  	1071-81-4
  63CASN  	1120-21-4
  64CASN  	112-40-3
  65CASN  	629-50-5
  66CASN  	629-59-4
  67CASN  	629-62-9
  68CASN  	544-76-3
  69CASN  	629-78-7
  70CASN  	593-45-3
  71CASN  	629-92-5
  72CASN  	15869-87-1
  73CASN  	112-95-8
  74CASN  	629-94-7
  75CASN  	629-97-0
  76CASN  	638-67-5
  77CASN  	646-31-1
  78CASN  	629-99-2
  79CASN  	630-01-3
  80CASN  	593-49-7
  81CASN  	630-02-4
  82CASN  	630-03-5
  85CASN  	1465084
  86CASN  	871-83-0
  87CASN  	17301-94-9
  88CASN  	15869-85-9
  90CASN  	909554
  91CASN  	3221-61-2
  92CASN  	2216-33-3
  93CASN  	2216-34-4
  94CASN  	15869-80-4
  96CASN  	1071-26-7
 100CASN  	1002-43-3
 101CASN  	75-19-4
 102CASN  	287-23-0
 104CASN  	287-92-3
 105CASN  	96-37-7
