[DIPPR Text]
 915FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 914FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 922FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1501FACU  53 1 0 0 0 0 0 0 0 0 0 0 
 908FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 909FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1938FACU  59 1 0 0 0 0 0 0 0 0 0 0 
1894FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1855FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1904FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 918FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1907FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 902FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1921FACU  17 1 0 0 0 0 0 0 0 0 0 0 
1922FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1911FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 919FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1903FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 912FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 900FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 905FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 899FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 901FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 910FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 911FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1521FACU  51 1 0 0 0 0 0 0 0 0 0 0 
1771FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1001FACU  26 1 0 0 0 0 0 0 0 0 0 0 
1502FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1681FACU  1 1 64 1 0 0 0 0 0 0 0 0 
   1FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1101FACU  16 1 0 0 0 0 0 0 0 0 0 0 
1701FACU  29 1 0 0 0 0 0 0 0 0 0 0 
1541FACU  46 1 50 1 0 0 0 0 0 0 0 0 
1854FACU  0 0 0 0 0 0 0 0 0 0 0 0 
4865FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 401FACU  3 2 0 0 0 0 0 0 0 0 0 0 
4868FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1504FACU  2 1 46 1 0 0 0 0 0 0 0 0 
1851FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1524FACU  45 1 49 1 0 0 0 0 0 0 0 0 
1772FACU  41 1 0 0 0 0 0 0 0 0 0 0 
 201FACU  2 2 0 0 0 0 0 0 0 0 0 0 
1522FACU  1 1 49 1 0 0 0 0 0 0 0 0 
1523FACU  45 2 0 0 0 0 0 0 0 0 0 0 
1002FACU  1 1 21 1 0 0 0 0 0 0 0 0 
1441FACU  2 1 26 1 0 0 0 0 0 0 0 0 
1252FACU  1 1 43 1 0 0 0 0 0 0 0 0 
1301FACU  1 1 24 1 0 0 0 0 0 0 0 0 
1503FACU  1 1 45 1 0 0 0 0 0 0 0 0 
