[Short descriptors]
# LibIndex <Tab> CAS <Tab> Short name <Tab> Full name
# short name entries as * and content after # is ignored
# 915	132259-10-0	*	Air
# 914	7440-37-1	*	Argon
# 922	7726-95-6	*	Bromine
# 1501	56-23-5	*	Carbon tetrachloride
908	630-08-0	CO	Carbon monoxide
909	124-38-9	CO2	Carbon dioxide
# 1938	75-15-0	*	Carbon disulfide
# 1894	75-44-5	*	Phosgene
# 1855	76-02-8	*	Trichloroacetyl chloride
# 1904	7647-01-0	*	Hydrogen chloride
918	7782-50-5	Cl2	Chlorine
# 1907	10034-85-2	*	Hydrogen iodide
902	1333-74-0	H2	Hydrogen
1921	7732-18-5	H2O	Water
1922	7783-06-4	H2S	Hydrogen sulfide
1911	7664-41-7	NH3	Ammonia
919	7440-01-9	Ne	Neon
# 1903	7697-37-2	*	Nitric acid
# 912	10102-43-9	*	Nitric oxide
# 900	10102-44-0	*	Nitrogen dioxide
905	7727-37-9	N2	Nitrogen
# 899	10024-97-2	*	Nitrous oxide
901	7782-44-7	O2	Oxygen
910	7446-09-5	SO2	Sulfur dioxide
911	7446-11-9	SO3	Sulfur trioxide
# 1521	67-66-3	*	Chloroform
# 1771	74-90-8	*	Hydrogen cyanide
# 1001	50-00-0	*	Formaldehyde
# 1502	74-87-3	*	Methyl chloride
# 1681	74-88-4	*	Methyl iodide
# 1	74-82-8	*	Methane
1101	67-56-1	MeOH	Methanol
# 1701	74-89-5	*	Methylamine
# 1541	79-01-6	*	Trichloroethylene
# 1854	79-36-7	*	Dichloroacetyl chloride
# 4865	75-87-6	*	Trichloroacetaldehyde
# 401	74-86-2	*	Acetylene
# 4868	79-02-7	*	Dichloroacetaldehyde
# 1504	75-01-4	*	Vinyl chloride
# 1851	75-36-5	*	Acetyl chloride
# 1524	79-00-5	*	1,1,2-trichloroethane
# 1772	75-05-8	*	Acetonitrile
# 201	74-85-1	*	Ethylene
# 1522	75-34-3	*	1,1-dichloroethane
# 1523	107-06-2	*	1,2-dichloroethane
# 1002	75-07-0	*	Acetaldehyde
1441	75-21-8	EO	Ethylene oxide
1252	64-19-7	AA	Acetic acid
# 1301	107-31-3	*	Methyl formate
# 1503	75-00-3	*	Ethyl chloride
# 2	74-84-0	*	Ethane
1401	115-10-6	DME	Dimethyl ether
1102	64-17-5	EtOH	Ethanol
1201	107-21-1	MEG	Ethylene glycol
# 1820	75-18-3	*	Dimethyl sulfide
# 1802	75-08-1	*	Ethyl mercaptan
# 1704	75-04-7	*	Ethylamine
# 1774	107-13-1	*	Acrylonitrile
# 402	74-99-7	*	Methylacetylene
# 301	463-49-0	*	Propadiene
# 202	115-07-1	*	Propylene
# 1051	67-64-1	*	Acetone
# 1302	109-94-4	*	Ethyl formate
# 1312	79-20-9	*	Methyl acetate
# 1253	79-09-4	*	Propionic acid
# 1876	68-12-2	*	N,n-dimethylformamide
# 3	74-98-6	*	Propane
1104	67-63-0	iPrOH	Isopropanol
1103	71-23-8	nPrOH	1-propanol
# 1703	75-50-3	*	Trimethylamine
# 418	689-97-4	*	Vinylacetylene
# 1821	110-02-1	*	Thiophene
# 1775	126-98-7	*	Methacrylonitrile
# 404	503-17-3	*	Dimethylacetylene
# 403	107-00-6	*	Ethylacetylene
302	590-19-2	12BD	1,2-butadiene
303	106-99-0	13BD	1,3-butadiene
# 204	106-98-9	*	1-butene
# 205	590-18-1	*	Cis-2-butene
# 206	624-64-6	*	Trans-2-butene
# 207	115-11-7	*	Isobutene
# 1006	78-84-2	*	2-methylpropanal
1052	78-93-3	MEK	Methyl ethyl ketone
# 1479	109-99-9	*	Tetrahydrofuran
# 1421	123-91-1	*	1,4-dioxane
# 1256	107-92-6	*	N-butyric acid
# 1313	141-78-6	*	Ethyl acetate
# 1322	554-12-1	*	Methyl propionate
# 1303	110-74-7	*	N-propyl formate
# 1845	126-33-0	*	Sulfolane
# 2856	127-19-5	*	N,n-dimethylacetamide
# 5	106-97-8	*	N-butane
# 4	75-28-5	*	Isobutane
1105	71-36-3	nBuOH	1-butanol
# 1106	78-83-1	*	2-methyl-1-propanol
# 1107	78-92-2	*	2-butanol
# 1108	75-65-0	*	2-methyl-2-propanol
# 1402	60-29-7	*	Diethyl ether
1202	111-46-6	DEG	Diethylene glycol
# 1710	109-89-7	*	Diethylamine
# 1889	98-01-1	*	Furfural
# 1791	110-86-1	*	Pyridine
# 309	78-79-5	*	Isoprene
# 104	287-92-3	*	Cyclopentane
# 212	563-46-2	*	2-methyl-1-butene
# 213	563-45-1	*	3-methyl-1-butene
# 214	513-35-9	*	2-methyl-2-butene
# 209	109-67-1	*	1-pentene
# 210	627-20-3	*	Cis-2-pentene
# 211	646-04-8	*	Trans-2-pentene
# 1053	96-22-0	*	3-pentanone
# 1061	563-80-4	*	Methyl isopropyl ketone
# 1314	109-60-4	*	N-propyl acetate
# 8	78-78-4	*	Isopentane
# 7	109-66-0	*	N-pentane
# 9	463-82-1	*	Neopentane
# 1592	120-82-1	*	1,2,4-trichlorobenzene
# 1573	541-73-1	*	M-dichlorobenzene
# 1572	95-50-1	*	O-dichlorobenzene
# 1574	106-46-7	*	P-dichlorobenzene
# 1680	108-86-1	*	Bromobenzene
# 1571	108-90-7	*	Monochlorobenzene
# 1691	591-50-4	*	Iodobenzene
# 1886	98-95-3	*	Nitrobenzene
# 501	71-43-2	*	Benzene
# 1181	108-95-2	*	Phenol
# 1792	62-53-3	*	Aniline
# 1080	108-94-1	*	Cyclohexanone
# 137	110-82-7	*	Cyclohexane
# 216	592-41-6	*	1-hexene
# 105	96-37-7	*	Methylcyclopentane
# 1151	108-93-0	*	Cyclohexanol
# 14	75-83-2	*	2,2-dimethylbutane
# 15	79-29-8	*	2,3-dimethylbutane
# 11	110-54-3	*	N-hexane
# 12	107-83-5	*	2-methylpentane
# 13	96-14-0	*	3-methylpentane
1203	112-27-6	TEG	Triethylene glycol
# 1706	121-44-8	*	Triethylamine
# 502	108-88-3	*	Toluene
# 1183	108-39-4	*	M-cresol
# 1182	95-48-7	*	O-cresol
# 1184	106-44-5	*	P-cresol
# 138	108-87-2	*	Methylcyclohexane
# 107	1640-89-7	*	Ethylcyclopentane
# 234	592-76-7	*	1-heptene
# 17	142-82-5	*	N-heptane
# 601	100-42-5	*	Styrene
# 504	100-41-4	*	Ethylbenzene
# 506	108-38-3	*	M-xylene
# 505	95-47-6	*	O-xylene
# 507	106-42-3	*	P-xylene
# 140	1678-91-7	*	Ethylcyclohexane
# 114	2040-96-2	*	N-propylcyclopentane
# 27	111-65-9	*	N-octane
# 40	564-02-3	*	2,2,3-trimethylpentane
# 41	540-84-1	*	2,2,4-trimethylpentane
# 42	560-21-4	*	2,3,3-trimethylpentane
# 43	565-75-3	*	2,3,4-trimethylpentane
1204	112-60-7	4EG	Tetraethylene glycol
# 803	95-13-6	*	Indene
# 820	496-11-7	*	Indane
# 510	98-82-8	*	Cumene
# 509	103-65-1	*	N-propylbenzene
# 149	1678-92-8	*	N-propylcyclohexane
# 46	111-84-2	*	N-nonane
# 701	91-20-3	*	Naphthalene
# 723	767-59-9	*	1-methylindene
# 724	2177-47-1	*	2-methylindene
# 316	77-73-6	*	Dicyclopentadiene
# 518	104-51-8	*	N-butylbenzene
# 152	1678-93-9	*	N-butylcyclohexane
# 56	124-18-5	*	N-decane
# 702	90-12-0	*	1-methylnaphthalene
# 703	91-57-6	*	2-methylnaphthalene
# 63	1120-21-4	*	N-undecane
# 808	83-32-9	*	Acenaphthene
# 558	92-52-4	*	Biphenyl
# 64	112-40-3	*	N-dodecane
# 738	86-73-7	*	Fluorene
# 65	629-50-5	*	N-tridecane
# 805	85-01-8	*	Phenanthrene
# 66	629-59-4	*	N-tetradecane
# 67	629-62-9	*	N-pentadecane
# 717	206-44-0	*	Fluoranthene
# 807	129-00-0	*	Pyrene
# 710	605-02-7	*	1-phenylnaphthalene
# 68	544-76-3	*	N-hexadecane
# 806	218-01-9	*	Chrysene
# 153	493-01-6	*	Cis-decahydronaphthalene
# 154	493-02-7	*	Trans-decahydronaphthalene
# 1405	1634-04-4	*	Methyl tert-butyl ether
# 1427	994-05-8	*	Methyl tert-pentyl ether
# 1111	75-85-4	*	2-methyl-2-butanol
# 904	10544-73-7	*	Nitrogen trioxide
# 906	10544-72-6	*	Nitrogen tetroxide
913	7440-59-7	He	Helium-4
917	7782-41-4	F2	Fluorine
920	7439-90-9	Kr	Krypton
959	7440-63-3	Xe	Xenon
924	10028-15-6	O3	Ozone
1893	463-58-1	CS	Carbonyl sulfide
1940	2551-62-4	SF6	Sulfur hexafluoride
1844	67-68-5	DMSO	Dimethyl sulfoxide
# 69	629-78-7	*	N-heptadecane
# 70	593-45-3	*	N-octadecane
# 71	629-92-5	*	N-nonadecane
# 74	629-94-7	*	N-heneicosane
# 75	629-97-0	*	N-docosane
# 76	638-67-5	*	N-tricosane
# 77	646-31-1	*	N-tetracosane
# 78	629-99-2	*	N-pentacosane
# 79	630-01-3	*	N-hexacosane
# 80	593-49-7	*	N-heptacosane
# 81	630-02-4	*	N-octacosane
# 82	630-03-5	*	N-nonacosane
# 55	111-01-3	*	Squalane
# 18	591-76-4	*	2-methylhexane
# 19	589-34-4	*	3-methylhexane
# 20	617-78-7	*	3-ethylpentane
# 21	590-35-2	*	2,2-dimethylpentane
# 22	565-59-3	*	2,3-dimethylpentane
# 23	108-08-7	*	2,4-dimethylpentane
# 24	562-49-2	*	3,3-dimethylpentane
# 25	464-06-2	*	2,2,3-trimethylbutane
# 28	592-27-8	*	2-methylheptane
# 29	589-81-1	*	3-methylheptane
# 30	589-53-7	*	4-methylheptane
# 31	619-99-8	*	3-ethylhexane
# 32	590-73-8	*	2,2-dimethylhexane
# 33	584-94-1	*	2,3-dimethylhexane
# 34	589-43-5	*	2,4-dimethylhexane
# 35	592-13-2	*	2,5-dimethylhexane
# 36	563-16-6	*	3,3-dimethylhexane
# 37	583-48-2	*	3,4-dimethylhexane
# 38	609-26-7	*	2-methyl-3-ethylpentane
# 39	1067-08-9	*	3-methyl-3-ethylpentane
# 44	594-82-1	*	2,2,3,3-tetramethylbutane
# 47	3522-94-9	*	2,2,5-trimethylhexane
# 49	16747-30-1	*	2,4,4-trimethylhexane
# 50	1067-20-5	*	3,3-diethylpentane
# 51	7154-79-2	*	2,2,3,3-tetramethylpentane
# 52	1186-53-4	*	2,2,3,4-tetramethylpentane
# 53	1070-87-7	*	2,2,4,4-tetramethylpentane
# 54	16747-38-9	*	2,3,3,4-tetramethylpentane
# 91	3221-61-2	*	2-methyloctane
# 92	2216-33-3	*	3-methyloctane
# 93	2216-34-4	*	4-methyloctane
# 94	15869-80-4	*	3-ethylheptane
# 96	1071-26-7	*	2,2-dimethylheptane
# 48	7154-80-5	*	3,3,5-trimethylheptane
# 72	15869-87-1	*	2,2-dimethyloctane
# 85	5911-04-6	*	3-methylnonane
# 86	871-83-0	*	2-methylnonane
# 87	17301-94-9	*	4-methylnonane
# 88	15869-85-9	*	5-methylnonane
# 217	7688-21-3	*	Cis-2-hexene
# 218	4050-45-7	*	Trans-2-hexene
# 250	111-66-0	*	1-octene
# 259	124-11-8	*	1-nonene
# 261	821-95-4	*	1-undecene
# 221	763-29-1	*	2-methyl-1-pentene
# 227	691-38-3	*	4-methyl-cis-2-pentene
# 228	674-76-0	*	4-methyl-trans-2-pentene
# 270	110-83-8	*	Cyclohexene
# 108	1638-26-2	*	1,1-dimethylcyclopentane
# 109	1192-18-3	*	Cis-1,2-dimethylcyclopentane
# 110	822-50-4	*	Trans-1,2-dimethylcyclopentane
# 111	2532-58-3	*	Cis-1,3-dimethylcyclopentane
