hydride	hydride	12184-88-2	H-	-1	1.01
fluoride	fluoride	16984-48-8	F-	-1	18.99
chloride	chloride	16887-00-6	Cl-	-1	35.45
bromide	bromide	24959-67-9	Br-	-1	79.91
iodide	iodide	20461-54-5	I-	-1	126.91
astatide	astatide	20561-39-1	At-	-1	211
hydroxide	hydroxide	14280-30-9	OH-	-1	17.01
hydrosulfide	sulfide (HS 1-)	15035-72-0	SH-	-1	33.07
hydroselenide	selenide (HSe 1-)	16661-43-1	SeH-	-1	79.97
hydrotelluride	telluride (HTe 1-)	18282-39-8	TeH-	-1	128.62
amide	amide	17655-31-1	NH2-	-1	16.02
superoxide	superoxide	11062-77-4	O2-	-1	32
hypochlorite	hypochlorite	14380-61-1	ClO-	-1	51.45
hypobromite	hypobromite	14380-62-2	BrO-	-1	95.91
hypoiodite	hypoiodite	15065-65-3	IO-	-1	142.91
cyanide	cyanide	57-12-5	CN-	-1	26.02
cyanate	cyanate	661-20-1	NCO-	-1	42.02
thiocyanate	thiocyanate	302-04-5	SCN-	-1	58.08
selenocyanate	selenocyanate	5749-48-4	SeCN-	-1	104.98
azide	azide	14343-69-2	N3-	-1	42.02
tribromide	bromide (Br3 1-)	14522-80-6	Br3-	-1	239.71
triiodide	iodide (I3 1-)	14900-04-0	I3-	-1	380.71
Hydrogendifluoride	fluoride (HF2 1-)	18130-74-0	HF2-	-1	39.01
hydroperoxide	peroxide (HO2 1-)	14691-59-9	HO2-	-1	33.01
metaborate	borate (BO2 1-)	14100-65-3	BO2-	-1	42.81
metaaluminate	aluminate (AlO2 1-)	20653-98-9	AlO2-	-1	58.98
chlorite	chlorite	14998-27-7	ClO2-	-1	67.45
nitrite	nitrite	14797-65-0	NO2-	-1	46.01
arsenenite	arsenenite	17306-35-3	AsO2-	-1	106.92
nitrate	nitrate	14797-55-8	NO3-	-1	62.01
chlorate	chlorate	14866-68-3	ClO3-	-1	83.45
bromate	bromate	15541-45-4	BrO3-	-1	127.91
iodate	iodate	15454-31-6	IO3-	-1	174.91
metaphosphate	metaphosphate (PO3 1-)	15389-19-2	PO3-	-1	78.97
metavanadate	vanadate (VO3 1-)	13981-20-9	VO3-	-1	98.94
tetrachloroaurate(III)	aurate (1-), tetrachloro-	14337-12-3	AuCl4-	-1	338.78
tetrabromoaurate(III)	aurate (1-), tetrabromo-	14337-14-5	AuBr4-	-1	516.58
perchlorate	perchlorate (ClO4 1-)	14797-73-0	ClO4-	-1	99.45
perbromate	perbromate (BrO4 1-)	16474-32-1	BrO4-	-1	143.91
periodate	periodate (IO4 1-)	15056-35-6	IO4-	-1	190.91
permanganate	permanganate (MnO4 1-)	14333-13-2	MnO4-	-1	118.94
pertechnetate	technetate (TcO4 1-)	14333-20-1	TcO4-	-1	163.01
perrhenate	rhenate (ReO4 1-)	14333-24-5	ReO4-	-1	250.01
tetrahydroborate	borate (1-), tetrahydro-	16971-29-2	BH4-	-1	14.84
tetrahydroxyborate	borate (1-), tetrahydroxy-	15390-83-7	B(OH)4-	-1	31.01
tetrahydroaluminate	aluminate (1-), tetrahydro-	19469-81-9	AlH4-	-1	78.84
